date,score,technical_score,timing_score,risk_score,confluence_score,entry_status,entry,ret_5d,ret_20d,ret_60d
2023-07-17,72.0,76.5,66.5,13.0,63.5,좋은 종목 · 관심 진입,130.86630515201233,0.0019070571093815492,-0.018855595946949077,-0.09346478659493807
2023-07-18,72.0,76.5,66.5,13.0,63.5,좋은 종목 · 관심 진입,130.96742612115034,0.0009334705885775119,-0.022094664359336935,-0.0932525068995933
2023-07-19,72.0,76.5,66.5,13.0,63.5,좋은 종목 · 관심 진입,131.0428792097759,-3.18223157664832e-05,-0.02522955347411371,-0.09267508907541577
2023-07-20,70.85,78.5,61.5,21.0,62.0,좋은 종목 · 관심 진입,131.0926905964523,-0.0009865274346448905,-0.028252912755365678,-0.0917348998439893
2023-07-21,72.2,78.5,64.5,21.0,64.0,좋은 종목 · 관심 진입,131.11696285196308,-0.0019283686663172928,-0.03115759619617786,-0.09043497299910841
2023-07-24,70.85,78.5,61.5,21.0,62.0,좋은 종목 · 관심 진입,131.11587466963098,-0.002855089579356984,-0.033936667913195606,-0.08877900966595875
2023-07-25,70.85,78.5,61.5,21.0,62.0,좋은 종목 · 관심 진입,131.08968036149614,-0.003764455136437861,-0.036583408491722036,-0.08677138019833963
2023-07-26,69.05,78.5,57.5,21.0,60.0,관심 종목 · 타이밍 확인 대기,131.03870912189473,-0.0046542535743023805,-0.039091322180242694,-0.08441712760874076
2023-07-27,70.85,78.5,61.5,21.0,63.5,좋은 종목 · 관심 진입,130.96336406069747,-0.005522298474123111,-0.04145414502364286,-0.0817219724009538
2023-07-28,72.0,76.5,66.5,13.0,63.5,좋은 종목 · 관심 진입,130.86412100917667,-0.0063664310550061165,-0.04366585401405121,-0.07869231864964799
2023-07-31,72.0,76.5,66.5,13.0,63.5,좋은 종목 · 관심 진입,130.74152710217345,-0.0071845227217367524,-0.04572067732711049,-0.07533526114592837
2023-08-01,72.0,76.5,66.5,13.0,63.5,좋은 종목 · 관심 진입,130.5961991409253,-0.0079744778959282,-0.04761310569946675,-0.07165859340229208
2023-08-02,70.9,74.5,66.5,13.0,61.5,좋은 종목 · 관심 진입,130.42882174159217,-0.008734237157554392,-0.04933790499025259,-0.06767081628465554
2023-11-01,70.95,70.5,71.5,18.0,66.0,관심 종목 · 타이밍 확인 대기,123.67671484639683,0.019323268165925445,0.0796813226433668,0.0969531402735484
2023-11-02,74.3,72.5,76.5,18.0,64.5,좋은 종목 · 관심 진입,124.13414727257356,0.019614530048388312,0.07924890519183836,0.09053227053596924
2023-11-03,74.3,72.5,76.5,18.0,63.0,좋은 종목 · 관심 진입,124.60308934727506,0.0198504830745605,0.07860738609938789,0.08401791248275048
2023-11-06,74.3,72.5,76.5,18.0,63.0,좋은 종목 · 관심 진입,125.08231356221276,0.020031008935279315,0.07776149631306639,0.07743416151492077
2023-11-07,65.6,66.5,64.5,26.0,57.0,관심 종목 · 타이밍 확인 대기,125.5705625805846,0.020156193322722338,0.0767166162668953,0.07080490417152197
2023-11-08,63.8,66.5,60.5,26.0,57.5,관심 종목 · 타이밍 확인 대기,126.06655317325446,0.020226318204172422,0.07547872952998058,0.06415372406005382
2023-11-09,63.8,66.5,60.5,26.0,56.0,관심 종목 · 타이밍 확인 대기,126.56898023428252,0.020241853385531305,0.07405437561416339,0.057503815166975336
2023-11-10,66.05,66.5,65.5,18.0,59.0,관심 종목 · 타이밍 확인 대기,127.0765208634011,0.02020344749782521,0.07245060243980994,0.050877902759196125
2023-11-13,66.05,66.5,65.5,18.0,58.0,관심 종목 · 타이밍 확인 대기,127.58783850282286,0.020111918535947293,0.07067491892022382,0.04429817197248265
2023-11-14,68.25,70.5,65.5,18.0,57.0,관심 종목 · 타이밍 확인 대기,128.1015871156019,0.019968244073214292,0.0687352480831982,0.03778620407645006
2023-11-15,68.25,70.5,65.5,18.0,57.0,관심 종목 · 타이밍 확인 대기,128.61641539263994,0.0197735512682522,0.06663988110363173,0.031362920309505604
