event_id,market_date,ticker,name,relation_type,relation_weight,mapping_relevance,link_confidence,theme,theme_materiality_score,material_score,material_status,ticker_material_score,positive_negative,novelty_status,event_type,event_stage,companies,direct_stock_codes,event_title,event_summary,link_reason,evidence,link_version,reference_signature
EV_f0c934796656316d,20260907,079950,인베니아,DIRECT,1.0,1.0,100.0,,0.0,93.0,STRONG,93.0,NEGATIVE,NEW_EVENT,SANCTION,CONFIRMED,인베니아,79950.0,기타시장안내(관리종목지정우려종목) (시가총액 200억원 미달),기타시장안내(관리종목지정우려종목) (시가총액 200억원 미달),stock code directly identified by EventExtractor,event stock_code=079950,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_7ab8884e1392f682,20260907,092870,엑시콘,DIRECT,1.0,1.0,100.0,,0.0,82.0,CONFIRMED,82.0,POSITIVE,NEW_EVENT,ORDER_CONTRACT,CONFIRMED,엑시콘,92870.0,[기재정정]단일판매ㆍ공급계약체결,[기재정정]단일판매ㆍ공급계약체결,stock code directly identified by EventExtractor,event stock_code=092870,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_f469431d1b4c6009,20260907,119850,지엔씨에너지,DIRECT,1.0,1.0,100.0,,0.0,82.0,CONFIRMED,82.0,NEUTRAL,NEW_EVENT,MNA,CONFIRMED,지엔씨에너지,119850.0,타법인주식및출자증권취득결정,타법인주식및출자증권취득결정,stock code directly identified by EventExtractor,event stock_code=119850,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_41601f4ae3f8e1a1,20260907,376270,hem파마,DIRECT,1.0,1.0,100.0,,0.0,82.0,CONFIRMED,82.0,POSITIVE,NEW_EVENT,ORDER_CONTRACT,CONFIRMED,hem파마,376270.0,[기재정정]단일판매ㆍ공급계약체결,[기재정정]단일판매ㆍ공급계약체결,stock code directly identified by EventExtractor,event stock_code=376270,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_f796efe36a2a3e14,20260907,247660,나노씨엠에스,DIRECT,1.0,1.0,100.0,,0.0,79.0,CONFIRMED,79.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,나노씨엠에스,247660.0,소액공모공시서류(지분증권),소액공모공시서류(지분증권),stock code directly identified by EventExtractor,event stock_code=247660,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_0d61a773c263cbf7,20260907,429270,시지트로닉스,DIRECT,1.0,1.0,100.0,,0.0,79.0,CONFIRMED,79.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,시지트로닉스,429270.0,소액공모공시서류(지분증권),소액공모공시서류(지분증권),stock code directly identified by EventExtractor,event stock_code=429270,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_966beee3f50c9f94,20260907,067160,soop,DIRECT,1.0,1.0,100.0,,0.0,79.0,CONFIRMED,79.0,POSITIVE,NEW_EVENT,BUYBACK,CONFIRMED,soop,67160.0,주식소각결정,주식소각결정,stock code directly identified by EventExtractor,event stock_code=067160,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_df76f606c1b8032e,20260907,220100,퓨쳐켐,DIRECT,1.0,1.0,100.0,,0.0,79.0,CONFIRMED,79.0,NEUTRAL,NEW_EVENT,CAPITAL_RAISE,CONFIRMED,퓨쳐켐,220100.0,유상증자또는주식관련사채등의청약결과(자율공시),유상증자또는주식관련사채등의청약결과(자율공시),stock code directly identified by EventExtractor,event stock_code=220100,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_16091810a0a7d2ee,20260907,361610,sk아이이테크놀로지,DIRECT,1.0,1.0,100.0,,0.0,78.0,CONFIRMED,78.0,NEUTRAL,NEW_EVENT,MNA,CONFIRMED,sk아이이테크놀로지,361610.0,정정명령부과( 2026.08.26. 제출 주요사항보고서(회사합병 결정) ),정정명령부과( 2026.08.26. 제출 주요사항보고서(회사합병 결정) ),stock code directly identified by EventExtractor,event stock_code=361610,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
EV_df1d9555d9f44d3d,20260907,031860,디에이치엑스컴퍼니,DIRECT,1.0,1.0,100.0,,0.0,78.0,CONFIRMED,78.0,NEGATIVE,NEW_EVENT,TRADING_HALT,CONFIRMED,디에이치엑스컴퍼니,31860.0,주권매매거래정지기간변경 (풍문 또는 보도 관련),주권매매거래정지기간변경 (풍문 또는 보도 관련),stock code directly identified by EventExtractor,event stock_code=031860,RULE_TICKER_LINK_V1_2,d0990a53655d2ac06b53
